Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;Total Docs. (2024);Estimated APC (USD);Estimated value (USD)
22;24254;"IEEE Transactions on Pattern Analysis and Machine Intelligence";journal;"01628828";No;No;"IEEE Computer Society";3,910;Q1;812;4531;14100111;
23;21100367773;"IEEE/CAA Journal of Automatica Sinica";journal;"23299266, 23299274";No;No;"IEEE Advancing Technology for Humanity";3,863;Q1;288;4086;4216845;
24;25820;"Communications on Pure and Applied Mathematics";journal;"00103640, 10970312";No;No;"Wiley-Liss Inc.";3,848;Q1;86;4229;1315230;
25;24242;"IEEE Transactions on Fuzzy Systems";journal;"10636706";No;No;"Institute of Electrical and Electronics Engineers Inc.";3,614;Q1;646;4230;8793761;
26;15049;"Biometrika";journal;"14643510, 00063444";No;No;"Oxford University Press";3,605;Q1;87;4172;1556292;
27;25037;"IEEE Transactions on Evolutionary Computation";journal;"1089778X";No;No;"Institute of Electrical and Electronics Engineers Inc.";3,495;Q1;257;4446;3134656;
28;24724;"Annals of Probability";journal;"00911798";No;No;"Institute of Mathematical Statistics";3,326;Q1;51;4114;1415380;
29;15298;"Structural Equation Modeling";journal;"15328007, 10705511";No;No;"Psychology Press Ltd";3,321;Q1;95;4187;1603467;
30;13531;"Journal of the Royal Statistical Society. Series B: Statistical Methodology";journal;"14679868, 13697412";No;No;"Oxford University Press";3,308;Q1;126;4459;1899567;
31;26580;"Geometric and Functional Analysis";journal;"14208970, 1016443X";No;No;"Birkhauser Verlag Basel";3,303;Q1;41;4151;713956;
32;8000153138;"Computer Science Review";journal;"15740137";No;No;"Elsevier Ireland Ltd";3,276;Q1;59;4017;1116777;
33;25208;"Archive for Rational Mechanics and Analysis";journal;"00039527, 14320673";No;No;"Springer New York";3,223;Q1;125;4105;2573803;
34;12137;"Journal of Statistical Software";journal;"15487660";Yes;Yes;"University of California at Los Angeles";3,211;Q1;39;4264;1091536;
35;26447;"Journal of the European Mathematical Society";journal;"14359855, 14359863";Yes;Yes;"European Mathematical Society Publishing House";3,043;Q1;93;4131;1883662;
36;26430;"SIAM Review";journal;"10957200, 00361445";No;No;"Society for Industrial and Applied Mathematics Publications";3,021;Q1;31;4168;812851;
37;21101021078;"Annals of PDE";journal;"21992576, 25245317";No;No;"Springer Science + Business Media";2,932;Q1;24;4148;402395;
38;25812;"Communications in Partial Differential Equations";journal;"03605302, 15324133";No;No;"Taylor and Francis Ltd.";2,926;Q1;29;3902;1034080;
39;18080;"Robotics and Computer-Integrated Manufacturing";journal;"07365845";No;No;"Elsevier Ltd";2,892;Q1;162;3977;2990694;
40;24671;"Memoirs of the American Mathematical Society";journal;"00659266";No;No;"American Mathematical Society";2,870;Q1;66;4061;1011162;
41;21100850798;"npj Computational Materials";journal;"20573960";Yes;No;"Nature Publishing Group";2,835;Q1;294;4062;4732660;
42;23795;"Journal des Mathematiques Pures et Appliquees";journal;"00217824";No;No;"Elsevier Masson s.r.l.";2,833;Q1;79;3956;1895058;
43;21100976127;"IEEE Transactions on Intelligent Vehicles";journal;"23798858";No;No;"Institute of Electrical and Electronics Engineers Inc.";2,821;Q1;795;3751;5424138;
44;26582;"Geometry and Topology";journal;"13640380, 14653060";No;No;"Mathematical Sciences Publishers";2,794;Q1;79;4017;1281413;
45;21100332429;"Annual Review of Statistics and Its Application";journal;"23268298, 2326831X";No;No;"Annual Reviews Inc.";2,766;Q1;23;4129;466608;
46;21101198720;"Probability and Mathematical Physics";journal;"26900998, 26901005";No;No;"Mathematical Sciences Publishers";2,722;Q1;18;4004;72079;
47;12711;"Multivariate Behavioral Research";journal;"00273171, 15327906";No;No;"Psychology Press Ltd";2,711;Q1;91;3930;1355697;
48;12996;"IEEE Signal Processing Magazine";journal;"10535888";No;No;"Institute of Electrical and Electronics Engineers Inc.";2,685;Q1;61;4228;1712449;
49;21100198229;"Statistics Surveys";journal;"19357516";Yes;No;"Institute of Mathematical Statistics";2,664;Q1;5;3579;85889;
50;25826;"Compositio Mathematica";journal;"0010437X, 15705846";No;No;"Cambridge University Press";2,649;Q1;57;3951;1303963;
51;13853;"Reliability Engineering and System Safety";journal;"18790836, 09518320";No;No;"Elsevier Ltd";2,647;Q1;764;3785;11860659;
52;25829;"Probability Theory and Related Fields";journal;"01788051, 14322064";No;No;"Springer New York";2,631;Q1;108;3964;1609442;
53;23876;"Journal of Differential Geometry";journal;"0022040X, 1945743X";No;No;"International Press of Boston, Inc.";2,582;Q1;82;4137;1009534;
54;4000151805;"Foundations and Trends in Communications and Information Theory";journal;"15672190, 15672328";No;No;"Now Publishers Inc";2,571;Q1;4;3981;79617;
55;23200;"Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire";journal;"18731430, 02941449";Yes;Yes;"European Mathematical Society Publishing House";2,562;Q1;37;3938;870390;
56;24654;"American Journal of Mathematics";journal;"10806377, 00029327";No;No;"Johns Hopkins University Press";2,455;Q1;42;3970;897289;
57;17945;"Bioinformatics";journal;"13674811, 13674803";Yes;No;"Oxford University Press";2,451;Q1;740;4075;18565743;
58;25959;"Annales Scientifiques de l'Ecole Normale Superieure";journal;"00129593";No;No;"Societe Mathematique de France";2,416;Q1;28;3916;595233;
59;25309;"Calculus of Variations and Partial Differential Equations";journal;"14320835, 09442669";No;No;"Springer New York";2,405;Q1;245;3884;4478320;
60;21100242249;"Analysis and PDE";journal;"1948206X, 21575045";No;No;"Mathematical Sciences Publishers";2,361;Q1;80;4003;1352979;
61;18050;"International Journal of Robotics Research";journal;"02783649, 17413176";No;No;"SAGE Publications Inc.";2,333;Q1;150;4056;1736136;
62;24487;"Proceedings of the London Mathematical Society";journal;"00246115, 1460244X";No;No;"John Wiley and Sons Ltd";2,331;Q1;71;3818;1187433;
63;23844;"Journal of Combinatorial Theory. Series B";journal;"10960902, 00958956";No;No;"Academic Press Inc.";2,312;Q1;85;3744;1557688;
64;26421;"SIAM Journal on Numerical Analysis";journal;"00361429, 10957170";No;No;"Society for Industrial and Applied Mathematics Publications";2,312;Q1;111;3879;2323755;
65;28470;"Foundations of Computational Mathematics";journal;"16153383, 16153375";No;No;"Springer New York";2,308;Q1;93;3771;965276;
66;25105;"Mathematische Annalen";journal;"00255831, 14321807";No;No;"Springer New York";2,292;Q1;413;3807;4019965;
67;22489;"European Journal of Operational Research";journal;"03772217";No;No;"Elsevier B.V.";2,239;Q1;612;3879;12632326;
68;29348;"Energy";journal;"18736785, 03605442";No;No;"Elsevier Ltd";2,211;Q1;4536;3805;63381013;
69;23796;"Journal fur die Reine und Angewandte Mathematik";journal;"00754102, 14355345";No;No;"Walter de Gruyter GmbH";2,189;Q1;102;3874;2049515;
70;50170;"International Journal of Mechanical Sciences";journal;"00207403";No;No;"Elsevier Ltd";2,188;Q1;893;3650;12889174;
71;21101072502;"NAR Genomics and Bioinformatics";journal;"26319268";Yes;No;"Oxford University Press";2,179;Q1;183;3886;1550400;
72;24207;"Fuzzy Optimization and Decision Making";journal;"15732908, 15684539";No;No;"Springer New York";2,171;Q1;28;3505;448660;
73;75561;"Advanced Nonlinear Studies";journal;"21690375, 15361365";Yes;No;"Walter de Gruyter GmbH";2,157;Q1;54;3656;851770;
74;17393;"IEEE Transactions on Vehicular Technology";journal;"00189545, 19399359";No;No;"Institute of Electrical and Electronics Engineers Inc.";2,156;Q1;1877;3885;27642588;
75;21100197181;"NPG Asia Materials";journal;"18844057, 18844049";Yes;No;"Nature Publishing Group";2,152;Q1;62;3940;1544317;
76;24570;"Advances in Mathematics";journal;"10902082, 00018708";No;No;"Academic Press Inc.";2,094;Q1;437;3806;8178301;
77;21100857408;"Algebraic Geometry";journal;"23131691, 22142584";Yes;Yes;"THE EMS PUBLISHING HOUSE";2,063;Q1;25;3754;454281;
78;25150;"Applied and Computational Harmonic Analysis";journal;"1096603X, 10635203";No;No;"Academic Press Inc.";2,046;Q1;69;3604;1387436;
79;18093;"Archives of Computational Methods in Engineering";journal;"18861784, 11343060";No;No;"Springer Netherlands";2,038;Q1;211;3668;3121190;
80;21100403505;"Advances in Nonlinear Analysis";journal;"2191950X, 21919496";Yes;No;"De Gruyter Open Ltd";2,035;Q1;82;3876;1298527;
81;23874;"Journal of Differential Equations";journal;"00220396, 10902732";No;No;"Academic Press Inc.";2,034;Q1;528;3783;10784673;
82;20969;"Journal of Machine Learning Research";journal;"15337928, 15324435";Yes;No;"Microtome Publishing";2,019;Q1;5;3833;4951622;
83;15572;"Information Systems Frontiers";journal;"15729419, 13873326";No;No;"Springer Netherlands";2,002;Q1;207;3590;2362013;
84;24598;"Mathematical Models and Methods in Applied Sciences";journal;"02182025, 17936314";No;No;"World Scientific Publishing Co. Pte Ltd";1,991;Q1;70;3837;1404507;
85;26418;"SIAM Journal on Mathematical Analysis";journal;"00361410, 10957154";No;No;"Society for Industrial and Applied Mathematics Publications";1,976;Q1;229;3779;4035514;
86;21100197121;"Geoscientific Model Development";journal;"1991959X, 19919603";Yes;No;"Copernicus Publications";1,967;Q1;383;3913;6879598;
87;23894;"Journal of Functional Analysis";journal;"10960783, 00221236";No;No;"Academic Press Inc.";1,958;Q1;311;3777;5382063;
88;21101186925;"Mathematical Statistics and Learning";journal;"25202324, 25202316";Yes;Yes;"European Mathematical Society Publishing House";1,953;Q1;5;3767;18833;
89;21100358105;"IEEE Transactions on Control of Network Systems";journal;"23255870";No;No;"Institute of Electrical and Electronics Engineers Inc.";1,951;Q1;293;3862;3804060;
90;21101021579;"Advances in Combinatorics";journal;"25175599";Yes;Yes;"Alliance of Diamond OA Journals";1,944;Q1;6;3665;109939;
91;13563;"Educational and Psychological Measurement";journal;"00131644, 15523888";No;No;"SAGE Publications Inc.";1,933;Q1;66;3740;991036;
92;14061;"Psychometrika";journal;"00333123, 18600980";No;No;"Cambridge University Press";1,903;Q1;57;3839;1032714;
93;19900192513;"Swarm and Evolutionary Computation";journal;"22106502";No;No;"Elsevier B.V.";1,890;Q1;285;3849;3248692;
94;20972;"Journal of Materials Processing Technology";journal;"09240136, 18734774";No;No;"Elsevier B.V.";1,885;Q1;323;3652;6712983;
95;25837;"Constructive Approximation";journal;"14320940, 01764276";No;No;"Springer New York";1,871;Q1;54;3419;772734;
96;147234;"Selecta Mathematica, New Series";journal;"10221824";No;No;"Birkhauser Verlag Basel";1,871;Q1;104;3666;1679171;
97;21100451321;"Scientific Data";journal;"20524463";Yes;No;"Nature Research";1,867;Q1;1415;3866;14636647;
98;19300156906;"Journal of Modern Dynamics";journal;"19305311, 1930532X";No;No;"American Institute of Mathematical Sciences";1,866;Q1;18;3421;314725;
99;4000148905;"IEEE Computational Intelligence Magazine";journal;"1556603X";No;No;"Institute of Electrical and Electronics Engineers Inc.";1,851;Q1;46;3900;854193;
100;23819;"Journal of Algebraic Geometry";journal;"10563911, 15347486";No;No;"American Mathematical Society";1,846;Q1;19;3744;340691;
101;25092;"Mathematics of Computation";journal;"00255718, 10886842";No;No;"American Mathematical Society";1,845;Q1;97;3642;1831716;
102;21105;"International Journal of Fatigue";journal;"01421123";No;No;"Elsevier Ltd";1,835;Q1;496;3634;9649024;
103;21100886430;"Forum of Mathematics, Sigma";journal;"20505094";Yes;No;"Cambridge University Press";1,834;Q1;125;3594;1790022;
104;15134;"Information Sciences";journal;"00200255";No;No;"Elsevier Inc.";1,803;Q1;1306;3793;23591394;
105;5800228226;"Journal of the Institute of Mathematics of Jussieu";journal;"14747480, 14753030";No;No;"Cambridge University Press";1,802;Q1;68;3599;1166034;
106;4700151702;"Annali della Scuola Normale Superiore di Pisa - Classe di Scienze";journal;"0391173X, 20362145";No;No;"Scuola Normale Superiore";1,775;Q1;61;3592;1210641;
107;19900191610;"Bayesian Analysis";journal;"19316690, 19360975";Yes;Yes;"Carnegie Mellon University";1,768;Q1;44;3813;865506;
108;23212;"Annales de l'institut Henri Poincare (B) Probability and Statistics";journal;"02460203";No;No;"Institute of Mathematical Statistics";1,755;Q1;98;3690;1701096;
109;21424;"Journal for Research in Mathematics Education";journal;"00218251";No;No;"National Council of Teachers of Mathematics";1,753;Q1;16;3638;396509;
110;28512;"Mathematical Programming";journal;"14364646, 00255610";No;No;"Springer-Verlag GmbH and Co. KG";1,732;Q1;210;3860;2983495;
111;24483;"Journal of the London Mathematical Society";journal;"00246107, 14697750";No;No;"John Wiley and Sons Ltd";1,717;Q1;226;3536;2602517;
112;28976;"Journal of Economic Dynamics and Control";journal;"01651889";No;No;"Elsevier B.V.";1,714;Q1;118;3541;2421786;
113;18896;"IEEE Communications Letters";journal;"10897798";No;No;"Institute of Electrical and Electronics Engineers Inc.";1,708;Q1;604;3633;12138522;
114;21100857212;"Current Opinion in Systems Biology";journal;"24523100";No;No;"Elsevier Ltd";1,702;Q1;30;3611;689644;
115;13191;"Journal of Computational Physics";journal;"10902716, 00219991";No;No;"Academic Press Inc.";1,685;Q1;708;3715;13149084;
116;24689;"Transactions of the American Mathematical Society";journal;"00029947, 10886850";No;No;"American Mathematical Society";1,675;Q1;249;3655;4860846;
117;5800173379;"Virtual and Physical Prototyping";journal;"17452767, 17452759";Yes;No;"Taylor and Francis Ltd.";1,673;Q1;235;3735;1927474;
118;14756;"Statistical Science";journal;"08834237";No;No;"Institute of Mathematical Statistics";1,672;Q1;38;3789;841225;
119;23152;"IMA Journal of Numerical Analysis";journal;"14643642, 02724979";No;No;"Oxford University Press";1,666;Q1;105;3654;1812484;
120;21100872828;"Foundations and Trends in Programming Languages";journal;"23251107, 23251131";No;No;"Now Publishers Inc";1,665;Q1;1;3371;26970;
121;25787;"Commentarii Mathematici Helvetici";journal;"00102571, 14208946";Yes;Yes;"European Mathematical Society Publishing House";1,661;Q1;15;3595;348744;
122;21101053588;"SMAI Journal of Computational Mathematics";journal;"24268399";Yes;Yes;"SMAI French Society for Applied and Industrial Mathematics";1,660;Q1;13;3551;134925;
123;21101257044;"Life Medicine";journal;"27551733";Yes;Yes;"Oxford University Press";1,651;Q1;44;3652;160674;
124;4700153006;"ACM Transactions on Algorithms";journal;"15496325, 15496333";No;No;"Association for Computing Machinery (ACM)";1,650;Q1;47;3643;757690;
125;4400151715;"Stata Journal";journal;"1536867X, 15368734";No;No;"SAGE Publications Inc.";1,645;Q1;37;4004;980896;
126;28536;"Numerische Mathematik";journal;"09453245, 0029599X";No;No;"Springer New York";1,642;Q1;63;3706;1322872;
127;21100898787;"Stochastics and Partial Differential Equations: Analysis and Computations";journal;"2194041X, 21940401";No;No;"Springer New York";1,641;Q1;53;3592;664433;
128;28502;"Journal of Numerical Mathematics";journal;"15702820, 15693953";No;No;"Walter de Gruyter GmbH";1,638;Q1;24;3709;315300;
129;21100976772;"EMS Surveys in Mathematical Sciences";journal;"2308216X, 23082151";Yes;Yes;"European Mathematical Society Publishing House";1,637;Q1;6;3694;173639;
130;26425;"SIAM Journal on Scientific Computing";journal;"10957197, 10648275";No;No;"Society for Industrial and Applied Mathematics Publications";1,634;Q1;240;3663;4187107;
131;19900192175;"Journal of Topology";journal;"17538416, 17538424";No;No;"John Wiley and Sons Ltd";1,632;Q1;48;3722;852293;
132;21100976672;"IEEE Transactions on Emerging Topics in Computational Intelligence";journal;"2471285X";No;No;"Institute of Electrical and Electronics Engineers Inc.";1,620;Q1;412;3666;2939739;
133;24355;"Computers and Operations Research";journal;"03050548, 1873765X";No;No;"Elsevier Ltd";1,605;Q1;325;3652;5112463;
134;23898;"Journal of Graph Theory";journal;"03649024, 10970118";No;No;"Wiley-Liss Inc.";1,595;Q1;131;3465;2075562;
135;21101134425;"Transactions of the American Mathematical Society Series B";journal;"23300000";Yes;No;"American Mathematical Society";1,594;Q1;43;3549;294570;
136;25961;"Educational Studies in Mathematics";journal;"15730816, 00131954";No;No;"Springer Netherlands";1,589;Q1;82;3638;1422532;
137;24710;"Annals of Applied Probability";journal;"10505164";No;No;"Institute of Mathematical Statistics";1,574;Q1;147;3698;2237428;
138;21100850723;"mSystems";journal;"23795077";Yes;No;"American Society for Microbiology";1,558;Q1;387;3781;6722160;
139;29805;"ISA Transactions";journal;"00190578";No;No;"International Society of Automation";1,552;Q1;460;3573;8903398;
140;21100838810;"Journal de l'Ecole Polytechnique - Mathematiques";journal;"2270518X, 24297100";Yes;Yes;"Ecole Polytechnique";1,538;Q1;34;3681;625825;
141;21100199330;"Advances in Calculus of Variations";journal;"18648266, 18648258";No;No;"Walter de Gruyter GmbH";1,534;Q1;70;3586;738748;
142;21100217601;"ZDM - International Journal on Mathematics Education";journal;"18639704, 18639690";No;No;"Springer Verlag";1,534;Q1;114;3504;1871334;
143;13249;"Nonlinear Analysis, Theory, Methods and Applications";journal;"0362546X";No;No;"Elsevier Ltd";1,532;Q1;169;3560;4011941;
144;19700175257;"Algebra and Number Theory";journal;"19370652";No;No;"Mathematical Sciences Publishers";1,518;Q1;59;3582;1207281;
145;23261;"International Mathematics Research Notices";journal;"10737928, 16870247";No;No;"Oxford University Press";1,515;Q1;511;3572;8405511;
146;27437;"Communications in Mathematical Physics";journal;"14320916, 00103616";No;No;"Springer New York";1,506;Q1;300;3585;5853885;
147;4000151810;"PLoS Computational Biology";journal;"15537358, 1553734X";Yes;No;"Public Library of Science";1,503;Q1;753;3756;15485278;
148;3100147401;"Ecological Informatics";journal;"15749541";Yes;No;"Elsevier B.V.";1,491;Q1;521;3347;5603340;
149;21101062805;"Quantitative Science Studies";journal;"26413337";Yes;No;"";1,486;Q1;55;3651;660831;
150;12100156705;"Clinical Simulation in Nursing";journal;"18761399";No;No;"Elsevier Inc.";1,484;Q1;172;3360;2133522;
151;21100900379;"IEEE Robotics and Automation Letters";journal;"23773766";Yes;No;"Institute of Electrical and Electronics Engineers Inc.";1,481;Q1;1609;3681;23190840;
152;4700152871;"Bernoulli";journal;"13507265";No;No;"Bernoulli Society for Mathematical Statistics and Probability";1,480;Q1;133;3633;2179870;
153;18537;"Journal of Fluid Mechanics";journal;"14697645, 00221120";No;No;"Cambridge University Press";1,471;Q1;1163;3619;20030249;
154;23295;"Environmental Modelling and Software";journal;"18736726, 13648152";No;No;"Elsevier Ltd";1,466;Q1;246;3579;4126447;
155;19700186880;"Wiley Interdisciplinary Reviews: Computational Statistics";journal;"19395108, 19390068";No;No;"John Wiley &amp; Sons Inc.";1,452;Q1;36;3391;532326;
156;23892;"Journal of Evolution Equations";journal;"14243199, 14243202";No;No;"Birkhauser";1,413;Q1;98;3488;1715927;
157;26356;"Revista Matematica Iberoamericana";journal;"02132230, 22350616";Yes;Yes;"Universidad Autonoma de Madrid";1,409;Q1;76;3557;1337331;
158;14567;"Technometrics";journal;"15372723, 00401706";No;No;"Taylor and Francis Ltd.";1,408;Q1;70;3538;873956;
159;23194;"Indiana University Mathematics Journal";journal;"00222518";No;No;"Indiana University";1,401;Q1;56;3498;1287295;
160;28540;"SIAM Journal on Computing";journal;"00975397, 10957111";No;No;"Society for Industrial and Applied Mathematics Publications";1,400;Q1;57;3776;1162956;
161;26445;"European Journal of Combinatorics";journal;"10959971, 01956698";No;No;"Academic Press";1,398;Q1;195;3395;2349038;
162;26422;"SIAM Journal on Optimization";journal;"10526234, 10957189";No;No;"Society for Industrial and Applied Mathematics Publications";1,388;Q1;136;3843;2336742;
163;9000153105;"Nonlinear Analysis: Hybrid Systems";journal;"1751570X";No;No;"Elsevier B.V.";1,387;Q1;94;3637;1770990;
164;21101033050;"Journal of Global Economic Analysis";journal;"23772999";No;No;"Purdue University, Department of Agricultural Economics";1,377;Q1;5;3710;92751;
165;28632;"Biostatistics";journal;"14654644, 14684357";No;No;"Oxford University Press";1,372;Q1;73;3839;1278307;
166;145202;"Journal of Mathematics Teacher Education";journal;"13864416";No;No;"Springer Netherlands";1,367;Q1;84;3500;783924;
167;19700190323;"ACM Transactions on Intelligent Systems and Technology";journal;"21576912, 21576904";No;No;"Association for Computing Machinery (ACM)";1,362;Q1;134;3749;1934724;
168;26398;"Electronic Journal of Probability";journal;"10836489";Yes;No;"Institute of Mathematical Statistics";1,355;Q1;201;3540;2945331;
169;21101098756;"Decision Analytics Journal";journal;"27726622";Yes;No;"Elsevier Inc.";1,354;Q1;150;3340;1192225;
170;19400158592;"Mathematical Programming Computation";journal;"18672949, 18672957";No;No;"Springer Verlag";1,351;Q1;21;3982;406187;
171;22140;"Mathematics of Operations Research";journal;"15265471, 0364765X";Yes;No;"INFORMS Institute for Operations Research and the Management Sciences";1,349;Q1;117;3581;1711598;
172;23490;"Journal of Scientific Computing";journal;"08857474, 15737691";No;No;"Springer New York";1,348;Q1;330;3506;5582071;
173;12419;"International Journal of Systems Science";journal;"00207721, 14645319";Yes;No;"Taylor and Francis Ltd.";1,345;Q1;311;3403;4049796;
174;18661;"Structural and Multidisciplinary Optimization";journal;"16151488, 1615147X";No;No;"Springer Verlag";1,339;Q1;215;3497;5368649;
175;18173;"Mathematical Finance";journal;"09601627, 14679965";No;No;"Wiley-Blackwell Publishing Ltd";1,327;Q1;39;3644;707011;
176;19900192726;"Electronic Journal of Statistics";journal;"19357524";Yes;No;"Institute of Mathematical Statistics";1,321;Q1;141;3507;2293393;
177;40107;"Journal of Combinatorial Theory. Series A";journal;"00973165, 10960899";No;No;"Academic Press Inc.";1,321;Q1;81;3496;1768930;
178;5100155103;"Journal of Informetrics";journal;"18755879, 17511577";No;No;"Elsevier B.V.";1,321;Q1;99;3541;1579326;
179;26405;"SIAM Journal on Control and Optimization";journal;"10957138, 03630129";No;No;"Society for Industrial and Applied Mathematics Publications";1,316;Q1;134;3560;2769911;
180;18174;"Control Engineering Practice";journal;"09670661";No;No;"Elsevier Ltd";1,309;Q1;293;3520;4086912;
181;21101209857;"IEEE Journal on Selected Areas in Information Theory";journal;"26418770";No;No;"Institute of Electrical and Electronics Engineers Inc.";1,297;Q1;51;3493;178130;
182;18171;"Computers and Structures";journal;"00457949";No;No;"Elsevier Ltd";1,296;Q1;254;3514;2895537;
183;21101040699;"Tunisian Journal of Mathematics";journal;"25767666, 25767658";No;No;"Mathematical Sciences Publishers";1,291;Q1;24;3464;290969;
184;21100256955;"Advances in Differential Equations";journal;"10799389";No;No;"Khayyam Publishing, Inc.";1,285;Q1;22;3348;371574;
185;14588;"Theoretical and Applied Fracture Mechanics";journal;"01678442";No;No;"Elsevier B.V.";1,276;Q1;514;3417;6913238;
186;82360;"Journal of Nonlinear Science";journal;"09388974, 14321467";No;No;"Springer New York";1,272;Q1;115;3525;1850547;
187;21101072017;"Machine Intelligence Research";journal;"2731538X, 27315398";No;No;"Chinese Academy of Sciences";1,271;Q1;74;3577;472165;
188;25785;"Combinatorica";journal;"02099683, 14396912";No;No;"Janos Bolyai Mathematical Society";1,269;Q1;62;3497;867133;
189;21100920134;"Epijournal de Geometrie Algebrique";journal;"24916765";Yes;Yes;"Association de l'Epijournal de Geometrie Algebrique";1,268;Q1;22;3348;405151;
190;20086;"Statistics in Medicine";journal;"02776715, 10970258";No;No;"John Wiley and Sons Ltd";1,268;Q1;348;3584;6199612;
191;25696;"Nonlinearity";journal;"09517715, 13616544";No;No;"IOP Publishing Ltd.";1,262;Q1;254;3548;4296824;
192;28861;"Biometrics";journal;"0006341X, 15410420";No;No;"Oxford University Press";1,257;Q1;192;3611;3339981;
193;21100364916;"IEEE Transactions on Computational Social Systems";journal;"2329924X";No;No;"Institute of Electrical and Electronics Engineers Inc.";1,257;Q1;793;3492;5283009;
194;28457;"Computational Mechanics";journal;"14320924, 01787675";No;No;"Springer Verlag";1,256;Q1;182;3515;2678700;
195;21100248023;"CPT: Pharmacometrics and Systems Pharmacology";journal;"21638306";Yes;No;"American Society for Clinical Pharmacology and Therapeutics";1,249;Q1;193;3409;2413701;
196;23896;"Journal of Geometric Analysis";journal;"10506926, 1559002X";No;No;"Springer New York";1,248;Q1;375;3420;5671165;
197;18000156704;"Mathematical Thinking and Learning";journal;"15327833, 10986065";No;No;"Routledge";1,246;Q1;42;3312;394076;
198;19202;"Mathematics of Control, Signals, and Systems";journal;"09324194, 1435568X";No;No;"Springer London";1,246;Q1;36;3277;455515;
199;74973;"Communications in Contemporary Mathematics";journal;"17936683, 02191997";No;No;"World Scientific";1,245;Q1;111;3510;1747752;
200;19400158816;"Mathematics Education Research Journal";journal;"2211050X, 10332170";No;No;"Springer Netherlands";1,244;Q1;64;3294;744446;
201;15424;"Measurement: Journal of the International Measurement Confederation";journal;"02632241";No;No;"Elsevier B.V.";1,244;Q1;1412;3365;24049993;
202;23863;"Journal of Computational and Graphical Statistics";journal;"10618600, 15372715";No;No;"Taylor and Francis Ltd.";1,241;Q1;202;3680;2263238;
203;21100875801;"npj Systems Biology and Applications";journal;"20567189";Yes;No;"Nature Publishing Group";1,236;Q1;148;3544;1190653;
204;23940;"Journal of Mathematical Behavior";journal;"07323123";No;No;"Elsevier Inc.";1,235;Q1;78;3375;1025875;
